x,y,z,dist_to_centroid,dist_to_principal_axis,R,G,B,color_oob,opacity,scale_phys_0,scale_phys_1,scale_phys_2,scale_ratio,linearity,planarity,sphericity,orientation_x,orientation_y,orientation_z,local_density,if_keep,part_label,confidence
-0.0113222654869882,0.002444222297115,-0.0028115433052662,0.0010206340152395,0.0010201002232197,0.1723416261650829,0.1723416261650829,0.1723416934217223,False,0.7732695815030296,0.0001050422834885,4.722847391776601e-05,0.0001343778435663,2.845271769744193,0.2183065250877552,0.4302331994356754,0.3514602754765693,0.4060153022998075,-0.8323956962637644,-0.3771856030390864,4562.671252614268,True,body,high
-0.0103341421714885,0.0027205685752305,-0.004924437724564,0.0019565944328755,0.0009374342439251,0.502544999117543,0.502544999117543,0.5025427935726681,False,0.9632556724336536,3.2616545904219026e-05,2.891474183160374e-05,8.122683700604909e-05,2.809184238237547,0.5984511141091211,0.045573657784306,0.3559752281065728,0.4561368262745252,-0.8224972352473696,0.3397609361398648,6682.409761060814,True,wing_L,high
-0.0106872705367633,0.0025844184850025,-0.0049123777393618,0.0016757353279022,0.0007986587741423,0.3835592947623842,0.3835592947623842,0.383558966886267,False,0.5089526469935828,2.553832604625017e-05,2.5365528296201102e-05,6.665626307134861e-05,2.6278286930586603,0.6168653196337448,0.0025923708003868,0.3805423095658684,0.386483643519472,0.9215151655052006,0.0379498753072564,4684.221129517968,True,wing_L,high
-0.0121126570891651,0.0021466479160647,-0.0029154942518811,0.0008799440115709,0.0007120349241454,0.1900911577345792,0.1900911577345792,0.1900911577345792,False,0.6118362831443852,6.24763948899972e-05,2.714356826508539e-05,2.450244040307597e-05,2.549802952776658,0.5655388196953852,0.042274011915375,0.3921871683892398,0.1384041021908238,0.8185842084821208,0.5574622840340427,2674.3146373350623,False,body,high
-0.011154325663181,0.0012616445044508,-0.0044896739790096,0.0015724148810589,0.0008441310114309,0.4265687807199553,0.4265687807199553,0.4265685116933975,False,0.1629730583277927,3.076804861930078e-05,7.495480148206202e-05,7.34446431258623e-05,2.4361246437657704,0.0201475866300724,0.5693643857728682,0.4104880275970593,0.684564082477446,-0.5728418608663738,-0.4508039700590074,8546.349475911127,True,wing_R,high
-0.0120961186868249,0.0027572583539831,-0.0028696706483348,0.0009247797403581,0.0005693655544174,0.3097218706014422,0.3097218706014422,0.3097218706014422,False,0.3979739338206055,8.281562325761851e-05,2.9657117099459755e-05,3.2702759842605305e-05,2.7924367355020867,0.6051136421339816,0.0367761857405978,0.3581101721254206,-0.7075237593537252,-0.6479879585867743,-0.2819959848588572,3331.308956924491,False,body,high
-0.0108806366716266,0.0009600705273216,-0.0041351278435418,0.0018115654276099,0.0010586311900749,0.3345780077193191,0.3345780077193191,0.3345781590467578,False,0.8088761961384533,2.0127900900154904e-05,3.732927867847812e-05,4.93627906769765e-05,2.4524559675567863,0.2437769792482777,0.3484685031461599,0.4077545176055623,-0.8554923747365795,0.5067029245710508,0.1067002483535633,3632.1424395021527,True,wing_R,high
-0.0122744492693343,0.0033327797061543,-0.0025808638657921,0.0014968274491439,0.0008868522636796,0.3121437485588771,0.3121437485588771,0.3121437485588771,False,0.2703296811551617,8.346260712554142e-05,2.9996720270954183e-05,2.943710179814479e-05,2.8352861534351685,0.6405968935785314,0.0067050202729425,0.352698086148526,-0.8271534558468119,-0.4474017085424405,-0.3400718625143539,1587.3857382697563,False,body,high
-0.0119676914661293,0.0026244087031892,-0.0030925137548112,0.0006463882316328,0.0004426543574261,0.1147868242323416,0.1147868242323416,0.1147868242323416,False,0.3704890080518421,0.0001127027329219,0.0001471551270887,5.869701885601343e-05,2.5070289762028826,0.2341229615876621,0.366998521453755,0.3988785169585828,-0.989548697669479,-0.0211062020566381,0.1426460766210641,4617.624059148056,True,body,high
-0.0104972234048991,0.0026571199974905,-0.0049044225875615,0.0018127682231744,0.0008565671545772,0.2994181366271151,0.2994181366271151,0.2994177499014384,False,0.2556971285504181,8.523717984409129e-05,2.966017184570629e-05,2.910547188480892e-05,2.9285620305843354,0.6520277665220953,0.0065077230606641,0.3414645104172406,0.9027040791005182,-0.1988132900069691,-0.3815738739639951,8033.4463253197855,True,wing_L,high
